company_name,company_number,company_status,company_type,company_subtype,dissolution_date,incorporation_date,removed_date,registered_date,nature_of_business,registered_office_address
MARK SMITH FINANCIAL SOLUTIONS LIMITED,12545792,Active,Private limited company,,,2020-04-03,,,64922 65110 66220,43 Meridian Way Bramley Green Stockton On Tees TS18 4QH United Kingdom
MORTGAGE 365 LTD,15763392,Active,Private limited company,,,2024-06-05,,,64922 65110 65202 66220,5 Whiteley Croft Gardens Otley LS21 3PF England
KILN UNDERWRITING LIMITED,02938183,Active,Private limited company,,,1994-06-13,,,65110 65120 65201 66220,"20 Fenchurch Street London EC3M 3BY "
WINCHMORE MORTGAGES & PROTECTION LTD,14149856,Active,Private limited company,,,2022-06-06,,,64922 64999 65110 66220,6 Nelson Close Winchmore Hill Amersham HP7 0PB England
EQUALITY FINANCE LTD,12160317,Active,Private limited company,,,2019-08-16,,,64303 64922 64999 65110,12 Sheridan Road Watford WD19 4QL United Kingdom
KRL FINANCIAL LTD,12054679,Active,Private limited company,,,2019-06-17,,,65110,17 Cottage Gardens Great Billing Northampton NN3 9YW England
NAMECO (NO. 1202) LIMITED,08952872,Active,Private limited company,,,2014-03-21,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
GOLDEN ROCK SOLUTIONS LIMITED,10750870,Active,Private limited company,,,2017-05-03,,,65110 65120 66210 66220,10 Milton Court Ravenshead NG15 9BD United Kingdom
SPORTSHIELD LIMITED,11332503,Active,Private limited company,,,2018-04-27,,,65110 65120 66220,Number Three Siskin Drive Middlemarch Business Park Coventry CV3 4FJ United Kingdom
PETE DUNN LIFE LIMITED,15724096,Active,Private limited company,,,2024-05-16,,,65110,Teazle House Tytherley Road Winterslow Salisbury SP5 1PZ England
FALBROS LTD,08147460,Active,Private limited company,,,2012-07-18,,,64999 65110,1 Mayfair Place London W1J 8AJ England
MORRISON HOLDEN MORTGAGE & INSURANCE SOLUTIONS LIMITED,NI631961,Active,Private limited company,,,2015-06-16,,,65110,34 Edward Street Portadown Craigavon BT62 3NE Northern Ireland
WATERBRIDGE FINANCIAL PLANNING LTD,09883876,Active,Private limited company,,,2015-11-23,,,64999 65110 65120 65300,13 Market Street Penistone Sheffield S36 6BZ England
RIGHTDEAL INSURANCE AND MORTGAGE SERVICES LTD,07334264,Active,Private limited company,,,2010-08-03,,,65110 65120 65201 65202,62 St. Georges Road Bolton BL1 2DD England
BRUSH UTG LIMITED,09591124,Active,Private limited company,,,2015-05-14,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO. 1262) LIMITED,09591125,Active,Private limited company,,,2015-05-14,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO. 1372) LIMITED,14108848,Active,Private limited company,,,2022-05-16,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO. 1263) LIMITED,09591198,Active,Private limited company,,,2015-05-14,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
KD WRIGHT FINANCIAL SERVICES LIMITED,03909177,Active,Private limited company,,,2000-01-18,,,65110 65120 66220,Centurion House 136-142 London Road St. Albans AL1 1PQ United Kingdom
PIMBLOTT FINANCIAL SOLUTIONS LIMITED,07082434,Active,Private limited company,,,2009-11-20,,,64999 65110 65120 65300,"81 Swillington Lane Swillington Leeds LS26 8QF "
JRB MORTGAGES LTD,14159178,Active,Private limited company,,,2022-06-08,,,64922 65110,221 High Street Blackwood NP12 1AL Wales
DEM CONSULTANTS LTD,11251531,Active,Private limited company,,,2018-03-13,,,65110,150 Osborne Road North Southampton SO17 2FF England
RYANS FINANCIAL MANAGEMENT LIMITED,05521283,Active,Private limited company,,,2005-07-28,,,65110 65202,"67 Chorley Old Road Bolton Lancashire BL1 3AJ "
ECCLESIASTICAL LIFE LIMITED,00243111,Active,Private limited company,,,1929-10-19,,,65110 65300,"Benefact House, 2000 Pioneer Avenue Gloucester Business Park, Brockworth Gloucester GL3 4AW United Kingdom"
ASK FINANCIAL SERVICES LTD,11438519,Active,Private limited company,,,2018-06-28,,,64922 65110 69203 70210,"12 Coopers Close Staines-Upon-Thames TW18 3JX "
HAWKSYARD MORTGAGE & PROTECTION LTD,14125072,Active,Private limited company,,,2022-05-23,,,64999 65110 66220,2 Priory Avenue Hawksyard Rugeley WS15 1LQ United Kingdom
B INDEPENDENT FINANCIAL SERVICES LIMITED,06783816,Active,Private limited company,,,2009-01-06,,,64999 65110 65120,"17 Whitworth Drive Randlay Telford TF3 2NN "
UK&I LA SCHEME LIMITED,02619769,Active,Private limited company,,,1991-06-12,,,65110,Fujitsu Lovelace Road Bracknell RG12 8SN England
CARNEGIE FINANCIAL SERVICES LTD,SC381897,Active,Private limited company,,,2010-07-13,,,64999 65110 65120,Flexspace Mitchelston Drive Kirkcaldy KY1 3NB Scotland
MDC ASSOCIATES LIMITED,04225334,Active,Private limited company,,,2001-05-30,,,65110 65120 65201 65202,Suite 4102 Charlotte House Queens Dock Business Centre Liverpool L1 0BG England
BARTS INSURANCE BROKERS LIMITED,01448786,Active,Private limited company,,,1979-09-17,,,65110,101 New Cavendish Street 1st Floor South London W1W 6XH United Kingdom
FUEL WEALTH MANAGEMENT LIMITED,07166863,Active,Private limited company,,,2010-02-24,,,65110 65120 65201 65300,Mylor The Causeway Claygate Esher KT10 0NE England
NAMECO (NO. 314) LIMITED,03846413,Active,Private limited company,,,1999-09-22,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
HAQUE ASSOCIATES FINANCIAL SERVICES LIMITED,04909606,Active,Private limited company,,,2003-09-24,,,64999 65110 65120 65202,"26 Leagrave Rd Luton Beds LU4 8HZ "
RGA UK SERVICES LIMITED,03086510,Active,Private limited company,,,1995-08-01,,,64999 65110 65201 66290,Level 45 22 Bishopsgate London EC2N 4BQ United Kingdom
MIDAS WEALTH MANAGEMENT LTD,04987277,Active,Private limited company,,,2003-12-08,,,64999 65110 65120 65300,"43 Bloomfield Close, Knaphill Woking Surrey GU21 2BL "
PRINCIPLE FS LTD,15482528,Active,Private limited company,,,2024-02-11,,,64922 65110,"Parkers Estate Agents, 68 School Road Tilehurst Reading RG31 5AW United Kingdom"
NPS WEALTH MANAGEMENT LIMITED,07415840,Active,Private limited company,,,2010-10-22,,,65110,"Edgbaston Hall 25 Church Road Edgbaston Birmingham B15 3TB "
HEALIX INSURANCE SERVICES LIMITED,05484199,Active,Private limited company,,,2005-06-17,,,65110 65120,Healix House Esher Green Esher KT10 8AB United Kingdom
NAMECO (NO.214) LIMITED,03637190,Active,Private limited company,,,1998-09-23,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO. 1111) LIMITED,08668256,Active,Private limited company,,,2013-08-29,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO. 1208) LIMITED,08953602,Active,Private limited company,,,2014-03-24,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO. 1130) LIMITED,08705495,Active,Private limited company,,,2013-09-25,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO. 1011) LIMITED,07382271,Active,Private limited company,,,2010-09-21,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
BROADLAND FINANCIAL LIMITED,08576912,Active,Private limited company,,,2013-06-20,,,65110 65300,38 High Street Watton IP25 6AE England
FRIAR BEST INSURANCE SERVICES LIMITED,04737423,Active,Private limited company,,,2003-04-16,,,65110 65120 65201 65202,"Market House 21 Lenten Street Alton GU34 1HG "
NAMECO (NO. 1023) LIMITED,07676207,Active,Private limited company,,,2011-06-21,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO.408) LIMITED,03848204,Active,Private limited company,,,1999-09-24,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
RISK CAPITAL UTG LIMITED,08705473,Active,Private limited company,,,2013-09-25,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
AJ PROTECT LTD,09216717,Active,Private limited company,,,2014-09-12,,,64999 65110,"60 Station Road Clacton-On-Sea CO15 1SP "
DERREB UNDERWRITING LIMITED,06985381,Active,Private limited company,,,2009-08-08,,,65110 65120,5th Floor 70 Gracechurch Street London EC3V 0XL England
OPT FINANCIAL LIMITED,10668652,Active,Private limited company,,,2017-03-14,,,64999 65110,Office 6 Bridge House 7 Bridge Street Taunton TA1 1TG England
JUST CALL MORTGAGES & LOANS LTD,05246452,Active,Private limited company,,,2004-09-30,,,65110,"26 Hickman Rd Penarth Cardiff CF64 2AL "
MORTGAGE ADVICE CLINIC LTD,12002378,Active,Private limited company,,,2019-05-17,,,64922 64999 65110,29-31 Shoebury Road Thorpe Bay SS1 3RP England
NAMECO (NO. 1403) LIMITED,15168278,Active,Private limited company,,,2023-09-27,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
SENSIBLE FINANCIAL ADVICE LTD,08988916,Active,Private limited company,,,2014-04-09,,,65110,Woodglen Astley Burf Stourport-On-Severn DY13 0RX England
EVERGREEN CORPORATE CONSULTANCY LTD,05902062,Active,Private limited company,,,2006-08-10,,,01621 65110 65300 96090,Poiselands Swan Lane Upton Warren Bromsgrove B61 9HQ England
MCM FINANCIAL LIMITED,SC504450,Active,Private limited company,,,2015-04-27,,,65110 65300,68 Gilberstoun Edinburgh EH15 2QY Scotland
INSURE RISK LIMITED,07434098,Active,Private limited company,,,2010-11-09,,,65110 65120 65300,"Coversure House Vantage Park, Washingley Road Huntingdon PE29 6SR England"
INTELLIGENT FINANCE PLANNING LIMITED,04254437,Active,Private limited company,,,2001-07-18,,,64999 65110 65120,134 Sandon Road Bearwood Birmingham B66 4AB England
FORTYHILL LIMITED,04439995,Active,Private limited company,,,2002-05-16,,,65110 65300,38 High Street Watton IP25 6AE England
FLETCHERBIRCH LIMITED,14958711,Active,Private limited company,,,2023-06-24,,,64999 65110 65300 66290,23 Aviemore Close New Whittington Chesterfield S43 2AY United Kingdom
ADRIAN GALLAGHER LTD,NI663572,Active,Private limited company,,,2019-08-07,,,65110,27 Tudor Gardens Carrickfergus BT38 9TN Northern Ireland
GLOUCESTER MORTGAGE CENTRE LIMITED,04213181,Active,Private limited company,,,2001-05-09,,,64999 65110 65120,"Hazel Cottage Sandhurst Lane Sandhurst Gloucester GL2 9NP "
JACKSON GRUNDY FINANCIAL SERVICES LIMITED,04445008,Active,Private limited company,,,2002-05-22,,,65110 66190,"52 Main Road Duston Northampton NN5 6JJ "
PRORENDITA FIVE LIMITED,06312256,Active,Private limited company,,,2007-07-13,,,65110,One City Place Queens Road Chester CH1 3BQ England
LEGAL AND GENERAL ASSURANCE (PENSIONS MANAGEMENT) LIMITED,01006112,Active,Private limited company,,,1971-03-26,,,65110,"One Coleman Street London EC2R 5AA "
JEFF LUDGATE LIMITED,02193788,Active,Private limited company,,,1987-11-13,,,65110,"C/O Sterlings Ltd, Lawford House Albert Place London N3 1QA England"
M & A FINANCE LTD,06256356,Active,Private limited company,,,2007-05-23,,,65110 65300,"8a Broomfield Lane Hale Altrincham WA15 9AQ "
BERKELEY FINANCE LTD,11560343,Active,Private limited company,,,2018-09-10,,,64922 65110,956 Uxbridge Road Hayes UB4 0RL England
PAUL R JACKSON & ASSOCIATES (2016) LIMITED,05444838,Active,Private limited company,,,2005-05-05,,,65110,47 Butt Road Colchester CO3 3BZ United Kingdom
GREENVINE WEALTH MANAGEMENT LTD,10796815,Active,Private limited company,,,2017-05-31,,,65110,46 Houghton Place Bradford BD1 3RG England
ELSON CONSULTANCY SERVICES LIMITED,05994428,Active,Private limited company,,,2006-11-10,,,64921 65110 65120,38 Stafford Road Wallington SM6 9AA England
POWER AND COMPANY (ASSESSORS) LIMITED,02258885,Active,Private limited company,,,1988-05-17,,,65110,"First Floor, Winston House 349 Regents Park Road London N3 1DH United Kingdom"
DND CONSULTANCY LIMITED,07749390,Active,Private limited company,,,2011-08-23,,,65110,"27 Mill Pond Crescent Chichester PO19 8GH "
GRACECHURCH UTG NO. 446 LIMITED,05832678,Active,Private limited company,,,2006-05-31,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
PEARSON'S ESTATE PLANNING LTD,12016325,Active,Private limited company,,,2019-05-24,,,65110 65120 65300,23 Headley Grove Tadworth KT20 5JH England
ILM FINANCIAL LIMITED,SC374493,Active,Private limited company,,,2010-03-09,,,65110 65300,2 Fitzroy Place Glasgow G3 7RH Scotland
FINBUD LTD,12004168,Active,Private limited company,,,2019-05-20,,,64992 64999 65110,86-90 Paul Street London EC2A 4NE England
ESTEEMA FINANCIAL SOLUTIONS LIMITED,05911084,Active,Private limited company,,,2006-08-21,,,64922 64999 65110 65120,"Suite 404 Dryden Building, 37, Commercial Road London E1 1LF United Kingdom"
EAMONNKISSANE LTD,09176587,Active,Private limited company,,,2014-08-14,,,65110,"126 Carr Manor Road Leeds LS17 5AL "
BEST HEALTH PROTECT LIMITED,06823778,Active,Private limited company,,,2009-02-19,,,65110,98 Hornchurch Road Hornchurch RM11 1JS United Kingdom
SCOTTISH EQUITABLE PLC,SC144517,Active,Public limited company,,,1993-05-14,,,65110,Aegon Lochside Crescent Edinburgh Park Edinburgh EH12 9SE Scotland
SCOTTISH EQUITABLE (MANAGED FUNDS) LIMITED,SC064697,Active,Private limited company,,,1978-04-21,,,65110,"Edinburgh Park Edinburgh Midlothian EH12 9SE "
NAMECO (NO. 1016) LIMITED,07640964,Active,Private limited company,,,2011-05-19,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
FRIENDS LIFE WL LIMITED,03116645,Active,Private limited company,,,1995-10-20,,,65110 65300,Aviva Wellington Row York YO90 1WR United Kingdom
PARK VIEW FINANCIAL SERVICES LTD,06922060,Active,Private limited company,,,2009-06-02,,,64999 65110,12 Poplars Court Lenton Lane Nottingham NG7 2RR United Kingdom
TAILORED WEALTH & TRUST MANAGEMENT LIMITED,08417667,Active,Private limited company,,,2013-02-25,,,65110,Hampton Cottage School Lane Fittleworth Pulborough RH20 1JB England
JAKE PRICE LIMITED,15750271,Active,Private limited company,,,2024-05-30,,,64922 64999 65110,Kingsley House 22-24 Elm Road Leigh-On-Sea SS9 1SN England
NAMECO (NO. 1020) LIMITED,07642347,Active,Private limited company,,,2011-05-20,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO. 1019) LIMITED,07642353,Active,Private limited company,,,2011-05-20,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
ONE LIFE MORTGAGES LTD,14663219,Active,Private limited company,,,2023-02-14,,,64922 64999 65110,15 Brandon Road Hinckley LE10 0JW England
CHARLES SEBASTIAN PROTECTION BROKERS LIMITED,10957918,Active,Private limited company,,,2017-09-12,,,65110 65120,Nelson House 2 Hamilton Terrace Leamington Spa CV32 4LY England
M & S DUGGAL LIMITED,03585030,Active,Private limited company,,,1998-06-22,,,65110 65120 65201 65202,165-7 The Broadway Wimbledon London SW19 1NE England
ALLIED DUNBAR ASSURANCE PLC,00865292,Active,Public limited company,,,1965-11-30,,,65110,Unity Place 1 Carfax Close Swindon SN1 1AP United Kingdom
PREMIER MORTGAGES SOLUTION LTD,14951036,Active,Private limited company,,,2023-06-21,,,64999 65110 65201,"10 Bradstowe House 10 Bradstow Harrow, HA1 1EH United Kingdom"
MIA MONEY LTD,08289849,Active,Private limited company,,,2012-11-12,,,64922 65110,21 Masons Avenue Harrow HA3 5AH England
PFM FINANCIAL LTD,SC253301,Active,Private limited company,,,2003-07-25,,,65110,"66 Killermont Road Glasgow G61 2LS "
SUREFIRE FINANCIAL LTD,14400957,Active,Private limited company,,,2022-10-05,,,65110,200 Wanstead Park Road Ilford IG1 3TR England
PTYL LIMITED,13368313,Active,Private limited company,,,2021-04-30,,,65110 65120 86900,30 St. Georges Road London NW11 0LR England
MARKETING & MANAGEMENT SERVICES LIMITED,01411938,Active,Private limited company,,,1979-01-26,,,65110,"Melbourne House Melbourne Street Farsley Pudsey LS28 5BT "
KNIGHTHILL LIMITED,14102799,Active,Private limited company,,,2022-05-12,,,64922 65110 65120 66220,21 Savile Mount Leeds LS7 3HZ England
TEST VALLEY FINANCIAL MANAGEMENT LIMITED,05440610,Active,Private limited company,,,2005-04-29,,,65110 66120,"3 Silvertrees Holly Hill Lane Sarisbury Green Southampton SO31 7NB "
CHARTER WEALTH MANAGEMENT LIMITED,04789929,Active,Private limited company,,,2003-06-06,,,65110 65300,3 Ferry Road Office Park Preston PR2 2YH England
K.M. FINANCIAL CONSULTANTS (WESSEX) LIMITED,04213626,Active,Private limited company,,,2001-05-10,,,65110,"Arrowsmith Court Station Approach Broadstone BH18 8AT "
CONNECT BROKERS LIMITED,11365141,Active,Private limited company,,,2018-05-16,,,65110 65120 65201 66220,338 St. Helens Road Bolton BL3 3RP England
ARCHERS FINANCIAL SERVICES LIMITED,08995362,Active,Private limited company,,,2014-04-14,,,65110 65120 65300,"1 Windmill Hill Enfield EN2 6SE "
TOWERGATE FINANCIAL (SCOTLAND) LIMITED,SC127074,Active,Private limited company,,,1990-09-06,,,64999 65110,"150 St. Vincent Street Glasgow G2 5NE "
JPP ACTUARIAL LTD,13606973,Active,Private limited company,,,2021-09-07,,,65110,32 Russell Road Moseley Birmingham B13 8RE England
VITALITY LIFE LIMITED,03319079,Active,Private limited company,,,1997-02-17,,,65110,"3 More London Riverside London SE1 2AQ "
MYERS DAVISON GINGER LIMITED,04648496,Active,Private limited company,,,2003-01-27,,,64999 65110 66220,"Goldsmiths House 10-14 Cambridge Street Aylesbury HP20 1RS "
GOLDSMITH WEALTH MANAGEMENT LTD,09640180,Active,Private limited company,,,2015-06-16,,,65110 65300,25 West Common Lindfield Haywards Heath RH16 2AJ England
RAY RUSHTON LTD,10073248,Active,Private limited company,,,2016-03-18,,,65110,16 Seedling Place Great Eccleston PR3 0DN United Kingdom
RAMSAY BROWN FINANCIAL SERVICES LIMITED,02517602,Active,Private limited company,,,1990-07-02,,,65110,"Ramsay House 18 Vera Avenue Grange Park London N21 1RA "
N. CORNISH FINANCIAL SERVICES LTD,06850000,Active,Private limited company,,,2009-03-17,,,65110,"25 The Glade Colchester CO4 3JD "
CARTREF MORTGAGES LIMITED,10387757,Active,Private limited company,,,2016-09-21,,,64922 65110 65120 66220,15-19 High Street 15-19 High Street Denbigh LL16 3HY Wales
BRILLIANT ADVICE LIMITED,05490486,Active,Private limited company,,,2005-06-24,,,64999 65110,"Brilliant House 14 Mill Green Congleton CW12 1JG "
L.N & G INDEMNITY LTD,10972628,Active,Private limited company,,,2017-09-20,,,65110 65120 66220,14 Kings Mount Baldock SG7 6FP United Kingdom
STANMORE PROPERTIES LIMITED,04257243,Active,Private limited company,,,2001-07-23,,,64999 65110 68320,869 High Road London N12 8QA England
VIEWTO LTD,12861515,Active,Private limited company,,,2020-09-07,,,64922 65110,2 The Spinney Ripley Road Send GU23 7LH United Kingdom
SCHOLAR FINANCIAL SERVICES LTD,14458545,Active,Private limited company,,,2022-11-02,,,65110 66220,140 Northfield Road Hounslow TW5 9JG England
DENLY WILLIS GREEN MORTGAGES LTD,12737177,Active,Private limited company,,,2020-07-13,,,64922 65110,Unit 2 Conqueror Court Sittingbourne ME10 5BH England
MORTGAGE MATTERS LTD,12938119,Active,Private limited company,,,2020-10-08,,,64922 65110,5 New Forest Way Leeds LS10 4GH England
NAMECO (NO. 1099) LIMITED,08653718,Active,Private limited company,,,2013-08-16,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO. 1021) LIMITED,07676130,Active,Private limited company,,,2011-06-21,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO.931) LIMITED,06292091,Active,Private limited company,,,2007-06-25,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NOMINA CORPORATE PARTNER NO 095 LIMITED,09112745,Active,Private limited company,,,2014-07-02,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
THATCHERS IFA LIMITED,09108791,Active,Private limited company,,,2014-06-30,,,65110,7 Rockfield Business Park Old Station Drive Leckhampton Cheltenham GL53 0AN England
ASSET PROPERTY & FINANCE LTD,11406821,Active,Private limited company,,,2018-06-11,,,41100 64922 65110 68209,25 Devonshire Way Devonshire Way Croydon CR0 8BU England
RAMPTONS LIMITED,08216707,Active,Private limited company,,,2012-09-17,,,65110,"3700 Parkway, Solent Business Park Whiteley Fareham PO15 7AW "
CHRIS PRICE FINANCIAL CONSULTANCY LIMITED,06579003,Active,Private limited company,,,2008-04-29,,,65110,Unit 12 Atlantic Point Trading Estate Barry CF63 3AA Wales
CLEARBROOK FINANCIAL SOLUTIONS LTD,08229505,Active,Private limited company,,,2012-09-26,,,64999 65110 66220,Pmj House Highlands Road Shirley Solihull B90 4ND England
SB PROTECTION SERVICES LIMITED,12264609,Active,Private limited company,,,2019-10-16,,,65110,Woodgate House 2-8 Games Road Cockfosters EN4 9HN United Kingdom
JAMES BOURNE WEALTH MANAGEMENT LIMITED,10947383,Active,Private limited company,,,2017-09-05,,,65110 65300 66300,"Fornells 21 The Combe Eastbourne BN20 9DB "
SAVVY WEALTH MANAGEMENT LTD,07700192,Active,Private limited company,,,2011-07-11,,,65110 65300,1 Parc Bryn Derwen Llanharan Pontyclun CF72 9TT Wales
BLUE CROCODILE MONEY LTD,11803161,Active,Private limited company,,,2019-02-04,,,64922 65110 65120 66220,"Unit 1, City Limits Business Centre 34 South Parade Morley LS27 8FE England"
R.A. COWEN & PARTNERS (FINANCIAL SERVICES) LIMITED,02030364,Active,Private limited company,,,1986-06-23,,,64999 65110 65201,"Inbro House Commercial Gate Mansfield NG18 1EU "
TURNBERRY FINANCIAL PLANNING LTD,05860213,Active,Private limited company,,,2006-06-28,,,65110 65120 65300 70221,Hazelwood House St. Giles Street Northampton NN1 1JW England
STEPHEN MASON FINANCIAL SERVICES LTD,08131222,Active,Private limited company,,,2012-07-05,,,65110,"104/106 Market Street Ashby-De-La-Zouch LE65 1AP "
ANTHONY CASTREY LIMITED,08135514,Active,Private limited company,,,2012-07-09,,,65110,1 The Pastures Audley Stoke-On-Trent ST7 8HF England
BJD FINANCIAL SERVICES LIMITED,14416111,Active,Private limited company,,,2022-10-13,,,64922 65110 65120,55 Ferndale Road Hoylake CH47 3AT United Kingdom
4 SQUARE ADVICE LIMITED,04257080,Active,Private limited company,,,2001-07-23,,,64999 65110 65300,"1 Fordbrook Business Centre Marlborough Road Pewsey SN9 5NU "
NM PENSIONS LIMITED,04240147,Active,Private limited company,,,2001-06-25,,,65110 65300,"Windsor House Telford Centre Telford TF3 4NB "
PRISWM LIMITED,02136861,Active,Private limited company,,,1987-06-03,,,64999 65110,Prismatic House Falcon Court Preston Farm Industrial Estate Stockton-On-Tees TS18 3TX England
LIVERPOOL VICTORIA FINANCIAL SERVICES LIMITED,12383237,Active,Private limited by guarantee without share capital,,,2020-01-02,,,65110 66290,"County Gates Bournemouth BH1 2NF "
REASSURED LIMITED,06838409,Active,Private limited company,,,2009-03-05,,,65110,Belvedere House Basing View Basingstoke RG21 4HG England
GRACECHURCH UTG NO. 398 LIMITED,03440586,Active,Private limited company,,,1997-09-26,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
GRACECHURCH UTG NO. 435 LIMITED,03846406,Active,Private limited company,,,1999-09-22,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
PERASPERA CONSULTING LTD,07630059,Active,Private limited company,,,2011-05-11,,,65110,Sbc House Restmor Way Wallington SM6 7AH England
